,Brand,Model,Version,Location,Fuel_Type,Transmission,Owner_Type,Year,Kilometers_Driven,Power,Seats,Predicted Price
509,Hyundai,Grand,i10 Sportz,Jaipur,Petrol,Manual,First,2016,67310,82,5,4.568867925
510,Honda,Jazz,VX CVT,Pune,Petrol,Automatic,First,2019,1015,88.7,5,9.721603774
511,Honda,City,1.5 S MT,Jaipur,Petrol,Manual,Second,2011,83035,118,5,4.031037736
512,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,Kolkata,Diesel,Manual,First,2015,36983,100,7,8.88009434
513,Chevrolet,Cruze,LTZ,Pune,Diesel,Manual,Third,2010,76000,147.9,5,6.497476415
514,Skoda,Rapid,1.6 MPI AT Style Plus,Coimbatore,Petrol,Automatic,First,2019,14148,103.52,5,9.796226415
515,Maruti,Ritz,VDi,Kolkata,Diesel,Manual,First,2011,71428,73.9,5,2.478773585
516,Maruti,Ritz,ZXi,Mumbai,Petrol,Manual,Second,2015,10500,85.8,5,4.916886792
517,Honda,City,1.5 S AT,Kochi,Petrol,Automatic,First,2010,58997,118,5,3.430283019
518,Maruti,Celerio,VXI,Delhi,Petrol,Manual,First,2015,39842,67.04,5,3.565849057
519,Maruti,Alto,K10 LXI CNG,Kochi,CNG,Manual,First,2015,47490,58.2,4,3.43754717
520,Tata,Indica,Vista Aqua 1.2 Safire,Jaipur,Petrol,Manual,First,2009,45000,65,5,1.609528302
521,Honda,City,i VTEC V,Hyderabad,Petrol,Manual,First,2011,80000,117.3,5,5.268018868
523,Skoda,Rapid,Ultima 1.6 TDI Ambition Plus,Coimbatore,Diesel,Manual,First,2015,55409,103.5,5,6.103113208
524,Maruti,SX4,ZXI AT,Mumbai,Petrol,Automatic,First,2009,77000,103.3,5,2.602169811
526,Maruti,Alto,800 LXI,Coimbatore,Petrol,Manual,First,2016,59491,47.3,5,3.706981132
527,Mahindra,Scorpio,SLX 2.6 Turbo 8 Str,Hyderabad,Diesel,Manual,First,2007,51000,120,7,4.423490566
528,Maruti,Baleno,Zeta 1.2,Coimbatore,Petrol,Manual,First,2017,18725,83.1,5,7.346132075
529,BMW,X3,2.5si,Bangalore,Petrol,Automatic,First,2009,92000,218,5,9.958113208
530,Maruti,Ritz,VDi,Coimbatore,Diesel,Manual,First,2013,61450,73.9,5,4.52509434
531,Hyundai,EON,1.0 Kappa Magna Plus,Coimbatore,Petrol,Manual,First,2016,18592,68.05,5,4.207924528
532,Chevrolet,Enjoy,1.3 TCDi LTZ 7,Bangalore,Diesel,Manual,Second,2013,65137,73.74,7,4.891320755
533,Volkswagen,Polo,Diesel Comfortline 1.2L,Pune,Diesel,Manual,Second,2011,83000,73.9,5,2.53072327
534,Hyundai,Verna,1.6 CRDi EX AT,Delhi,Diesel,Automatic,First,2013,37000,126.3,5,7.039245283
535,Honda,BRV,i-VTEC V CVT,Coimbatore,Petrol,Automatic,First,2017,14052,117.3,7,12.11433962
536,Hyundai,i10,Magna 1.2,Coimbatore,Petrol,Manual,First,2011,45086,78.9,5,3.769622642
537,Maruti,Wagon,R VXI BS IV,Bangalore,Petrol,Manual,Second,2016,25400,67.04,5,3.678018868
538,Toyota,Innova,2.5 G4 Diesel 8-seater,Hyderabad,Diesel,Manual,First,2008,194500,102,8,5.661792453
539,Toyota,Innova,2.5 V Diesel 8-seater,Pune,Diesel,Manual,First,2014,89000,102,8,9.781509434
540,Hyundai,Verna,1.4 CX,Kolkata,Diesel,Manual,First,2012,50000,88.7,5,4.005283019
541,Hyundai,i20,Sportz AT 1.4,Pune,Petrol,Automatic,First,2012,76551,98.6,5,4.056132075
542,Volkswagen,Polo,1.2 MPI Highline,Mumbai,Petrol,Manual,First,2017,9700,74,5,5.732641509
543,Hyundai,Verna,1.6 EX VTVT,Mumbai,Petrol,Manual,First,2013,58000,121.3,5,5.432169811
544,Hyundai,i20,Magna Optional 1.2,Kolkata,Petrol,Manual,Second,2013,46000,82.9,5,3.141603774
545,Hyundai,Elantra,CRDi SX,Bangalore,Diesel,Manual,First,2014,72017,126.24,5,7.429433962
546,Ford,EcoSport,1.5 TDCi Titanium,Kolkata,Diesel,Manual,First,2015,54407,98.59,5,5.822924528
547,Toyota,Innova,2.5 VX (Diesel) 8 Seater,Hyderabad,Diesel,Manual,First,2012,147000,100,8,9.502924528
548,Audi,Q3,35 TDI Quattro Premium Plus,Jaipur,Diesel,Automatic,First,2015,61000,174.33,5,23.86599057
549,Skoda,Rapid,1.6 MPI AT Style,Mumbai,Petrol,Automatic,First,2016,18856,103.52,5,7.947358491
550,BMW,X6,xDrive30d,Hyderabad,Diesel,Automatic,First,2011,76000,241,4,26.86924528
551,Mahindra,KUV,100 D75 K8 5Str,Delhi,Diesel,Manual,First,2017,17700,77,5,6.061603774
552,Nissan,Micra,Diesel XV,Kochi,Diesel,Manual,First,2014,82267,63.1,5,3.229433962
553,Honda,City,i VTEC CVT VX,Kochi,Petrol,Automatic,First,2018,27041,117.3,5,11.55962264
554,Maruti,Alto,K10 VXI,Bangalore,Petrol,Manual,Second,2014,63000,67.1,5,3.358773585
555,Maruti,Wagon,R VXI Minor,Hyderabad,Petrol,Manual,First,2008,61000,67,5,2.02
556,Mahindra,TUV,300 2015-2019 T8,Kochi,Diesel,Manual,First,2018,28466,100,7,9.041886792
558,Hyundai,EON,Era Plus,Delhi,Petrol,Manual,First,2013,35373,55.2,5,2.329716981
559,Tata,New,Safari DICOR 2.2 EX 4x2,Jaipur,Diesel,Manual,First,2014,51000,138.1,7,9.189150943
560,Audi,A6,2011-2015 2.0 TDI,Mumbai,Diesel,Automatic,First,2013,49000,174.33,5,20.47830189
561,Nissan,Sunny,Diesel XV,Kolkata,Diesel,Manual,First,2015,41000,84.8,5,4.46754717
562,Toyota,Innova,2.5 G4 Diesel 7-seater,Bangalore,Diesel,Manual,Second,2011,82831,102,7,6.516132075
563,Honda,City,1.5 E MT,Mumbai,Petrol,Manual,First,2010,52000,118,5,3.216981132
564,Maruti,Swift,VDI BSIV,Hyderabad,Diesel,Manual,First,2015,39736,74,5,6.054245283
565,Renault,Duster,110PS Diesel RxL,Mumbai,Diesel,Manual,First,2014,26500,108.45,5,6.986037736
566,Maruti,Dzire,VXI,Mumbai,Petrol,Manual,First,2010,40000,81.8,5,2.353679245
567,Jeep,Compass,2.0 Limited Option 4X4,Coimbatore,Diesel,Manual,First,2019,5752,170,5,22.60669811
568,Nissan,Terrano,XV D Pre,Chennai,Diesel,Manual,Second,2015,54000,108.5,5,7.489339623
569,Maruti,Wagon,R LXI,Kolkata,Petrol,Manual,First,2014,54841,67.04,5,3.11509434
570,Ford,Ecosport,1.5 DV5 MT Titanium,Hyderabad,Diesel,Manual,First,2014,34000,89.84,5,6.805471698
571,Honda,Brio,E MT,Ahmedabad,Petrol,Manual,First,2012,16000,86.8,5,3.705188679
573,Skoda,Superb,L&K 2.0 TDI AT,Mumbai,Diesel,Automatic,First,2017,24000,174.5,5,29.98034591
574,Mahindra,Xylo,E8,Bangalore,Diesel,Manual,First,2013,60000,112,8,7.452358491
575,Hyundai,EON,1.0 Era Plus,Kochi,Petrol,Manual,First,2015,58469,68.05,5,3.841981132
576,Volkswagen,Polo,Diesel Highline 1.2L,Pune,Diesel,Manual,Second,2011,110000,73.9,5,2.646383648
577,Hyundai,Elantra,2.0 SX Option AT,Kochi,Petrol,Automatic,First,2018,21127,149.92,5,24.20924528
578,Toyota,Innova,2.0 V,Pune,Petrol,Manual,First,2013,56000,132,8,8.641698113
579,Mahindra,Xylo,H9,Mumbai,Diesel,Manual,First,2014,101000,118.3,8,6.743584906
580,Hyundai,i20,1.2 Magna Executive,Hyderabad,Petrol,Manual,First,2018,13664,81.83,5,6.608301887
581,Renault,Duster,Adventure Edition,Mumbai,Diesel,Manual,First,2014,65371,108.45,5,6.97990566
582,Hyundai,Verna,VTVT 1.6 SX,Delhi,Petrol,Manual,First,2014,70428,121.3,5,6.253018868
583,Hyundai,Verna,1.6 CRDI,Bangalore,Diesel,Manual,First,2012,69010,126.3,5,5.940377358
584,Maruti,Alto,800 2016-2019 LXI,Kolkata,Petrol,Manual,First,2017,68000,47.3,5,2.758301887
585,Nissan,Sunny,2011-2014 Diesel XL,Kolkata,Diesel,Manual,First,2012,45000,84.8,5,3.58509434
586,Maruti,Swift,Dzire Vdi BSIV,Ahmedabad,Diesel,Manual,First,2017,55945,73.9,5,5.176415094
587,Chevrolet,Sail,Hatchback LS ABS,Hyderabad,Diesel,Manual,First,2013,70000,76.9,5,4.261226415
588,Maruti,Wagon,R LXI,Mumbai,Petrol,Manual,First,2014,12000,67.1,5,3.125
589,Toyota,Corolla,Altis VL AT,Coimbatore,Petrol,Automatic,First,2019,10660,138.03,5,28.38915094
590,Toyota,Etios,G,Delhi,Petrol,Manual,First,2012,52052,88.73,5,3.683301887
591,Mercedes-Benz,New,C-Class 220 CDI AT,Chennai,Diesel,Automatic,Second,2012,62940,170,5,15.69858491
592,Hyundai,Santro,Xing GL Plus,Kolkata,Petrol,Manual,First,2012,102000,62.1,5,2.352830189
593,Volkswagen,Vento,Diesel Highline,Chennai,Diesel,Manual,First,2012,60000,103.6,5,5.04254717
594,Nissan,Sunny,2011-2014 XL AT Special Edition,Pune,Petrol,Automatic,First,2013,66000,99.6,5,4.295377358
595,Honda,Brio,1.2 VX MT,Hyderabad,Petrol,Manual,First,2012,41000,86.8,5,3.543207547
596,Honda,CR-V,2.4 4WD AT,Chennai,Petrol,Automatic,Third,2005,135000,152,5,4.021981132
597,Honda,City,1.5 S AT,Pune,Petrol,Automatic,First,2012,72000,116.4,5,5.349811321
598,Mercedes-Benz,New,C-Class C 220 CDI Celebration Edition,Delhi,Diesel,Automatic,First,2014,55000,167.62,5,24.47892296
599,Ford,Ecosport,1.0 Ecoboost Titanium,Coimbatore,Petrol,Manual,First,2016,37354,123.37,5,10.16330189
600,Mercedes-Benz,GLE,250d,Delhi,Diesel,Automatic,First,2016,21000,201.15,5,35.65792453
601,BMW,5,Series 2013-2017 520d Luxury Line,Bangalore,Diesel,Automatic,First,2015,66508,190,5,25.63962264
602,Mercedes-Benz,GL-Class,350 CDI Blue Efficiency,Hyderabad,Diesel,Automatic,First,2013,88000,254.8,7,39.41301887
603,Toyota,Fortuner,4x4 MT TRD Sportivo,Bangalore,Diesel,Manual,First,2012,52000,169,7,14.86698113
604,Mercedes-Benz,CLA,200 D Sport Edition,Coimbatore,Diesel,Automatic,First,2017,41372,136,5,22.17103774
605,Skoda,Rapid,1.5 TDI AT Ambition,Jaipur,Diesel,Automatic,Second,2017,50000,108.4,5,10.56037736
607,Honda,Amaze,S i-Dtech,Kolkata,Diesel,Manual,First,2013,51637,98.6,5,3.883584906
608,Toyota,Corolla,Altis G,Mumbai,Petrol,Manual,First,2009,48233,138.1,5,4.26490566
609,Hyundai,Grand,i10 Asta,Chennai,Petrol,Manual,Second,2016,58000,82,5,4.979622642
610,Honda,Jazz,1.2 V CVT i VTEC,Chennai,Petrol,Automatic,First,2015,44550,88.7,5,5.859528302
611,Hyundai,Verna,1.6 SX,Ahmedabad,Diesel,Manual,First,2013,60001,126.32,5,6.060377358
612,Toyota,Fortuner,4x2 AT,Delhi,Diesel,Automatic,First,2014,150000,168.5,7,17.62889937
613,Mercedes-Benz,E-Class,2009-2013 E350 CDI Avantgarde,Delhi,Diesel,Automatic,First,2015,33000,210,5,30.10320755
615,Volkswagen,Polo,1.5 TDI Highline,Jaipur,Diesel,Manual,First,2015,62766,88.8,5,5.127830189
616,Maruti,Wagon,R LXI BS IV,Delhi,Petrol,Manual,First,2010,73575,67.1,5,2.280188679
617,Honda,Amaze,SX i-DTEC,Pune,Diesel,Manual,First,2015,63000,98.6,5,5.143490566
618,Toyota,Innova,Crysta 2.8 ZX AT,Jaipur,Diesel,Automatic,First,2017,27270,171.5,7,30.51962264
619,Mercedes-Benz,New,C-Class C 220 CDI Avantgarde,Bangalore,Diesel,Automatic,First,2016,41737,170,5,31.25009434
620,Mercedes-Benz,New,C-Class C 220d Avantgarde Edition C,Coimbatore,Diesel,Automatic,First,2018,28358,167.62,5,37.05896226
621,Maruti,Ritz,VDi ABS,Pune,Diesel,Manual,Second,2012,75500,73.9,5,3.388396226
622,Honda,Jazz,1.2 VX i VTEC,Mumbai,Petrol,Manual,First,2016,9900,88.7,5,6.256981132
623,Honda,Brio,S MT,Mumbai,Petrol,Manual,First,2014,17000,86.8,5,4.216981132
625,Hyundai,Creta,1.4 CRDi S Plus,Bangalore,Diesel,Manual,First,2015,68178,88.7,5,6.641792453
626,Hyundai,Getz,GLE,Hyderabad,Petrol,Manual,First,2009,52008,83,5,2.624622642
627,Chevrolet,Beat,Diesel LS,Kolkata,Diesel,Manual,First,2013,76000,56.3,5,2.18754717
628,Audi,A6,2011-2015 2.0 TDI Premium Plus,Kochi,Diesel,Automatic,First,2015,48222,174.33,5,22.05886792
629,Hyundai,Xcent,1.2 Kappa SX Option,Delhi,Petrol,Manual,First,2016,100000,82,5,4.114622642
630,Maruti,Swift,Dzire VDi,Delhi,Diesel,Manual,First,2010,68000,73.9,5,3.058962264
631,Mitsubishi,Pajero,Sport 4X2 AT,Coimbatore,Diesel,Automatic,First,2015,76115,175.56,7,21.72169811
633,Toyota,Fortuner,4x2 AT,Hyderabad,Diesel,Automatic,First,2013,142000,168.5,7,19.29169811
634,Volvo,S60,D5 Kinetic,Hyderabad,Diesel,Automatic,First,2011,70000,215,5,10.11075472
635,Hyundai,Creta,1.6 CRDi SX,Coimbatore,Diesel,Manual,First,2016,34224,126.2,5,11.58122642
636,Mercedes-Benz,E-Class,2009-2013 E250 CDI Avantgarde,Ahmedabad,Diesel,Automatic,Second,2012,50000,203,5,16.93509434
637,Honda,Mobilio,V i DTEC,Mumbai,Diesel,Manual,First,2015,30000,98.6,7,6.130754717
638,Renault,Captur,1.5 Diesel RXL,Bangalore,Diesel,Manual,First,2018,22000,108.45,5,12.98603774
639,Hyundai,EON,Sportz,Kolkata,Petrol,Manual,First,2017,4000,55.2,5,2.919433962
640,Volvo,XC90,2007-2015 D5 AWD,Delhi,Diesel,Manual,First,2014,22230,200,7,22.8759434
641,Maruti,A-Star,AT VXI,Bangalore,Petrol,Automatic,First,2011,46000,66.1,5,2.686886792
642,Mercedes-Benz,E-Class,2009-2013 E250 CDI Blue Efficiency,Pune,Diesel,Automatic,First,2013,88700,203,5,21.32235849
643,Hyundai,Grand,i10 Sportz,Hyderabad,Petrol,Manual,First,2015,56000,82,5,5.127830189
644,Audi,A3,35 TDI Attraction,Ahmedabad,Diesel,Automatic,First,2014,84004,143,5,16.34830189
645,BMW,5,Series 2013-2017 530d M Sport,Bangalore,Diesel,Automatic,First,2015,16000,258,5,43.92783019
646,Mahindra,XUV500,W6 2WD,Jaipur,Diesel,Manual,Second,2015,85009,140,7,14.62056604
647,Ford,Ecosport,1.0 Ecoboost Titanium,Mumbai,Petrol,Manual,First,2014,86000,123.37,5,6.412169811
648,Chevrolet,Enjoy,TCDi LS 7 Seater,Coimbatore,Diesel,Manual,First,2015,93442,73.8,7,4.812075472
649,Mahindra,Scorpio,S10 8 Seater,Chennai,Diesel,Manual,First,2015,65000,120,8,8.18990566
650,Hyundai,i20,2015-2017 1.2 Magna,Pune,Petrol,Manual,First,2013,67000,80,5,4.157358491
651,Renault,Pulse,RxZ,Coimbatore,Diesel,Manual,First,2014,31513,63.12,5,3.935
652,Maruti,Swift,Dzire ZDI,Coimbatore,Diesel,Manual,First,2017,75724,74,5,5.101509434
653,Hyundai,EON,Magna Plus,Kolkata,Petrol,Manual,First,2013,69000,55.2,5,2.106415094
654,Nissan,Micra,XL,Mumbai,Petrol,Manual,First,2010,65000,75,5,2.186981132
655,Skoda,Superb,L&K 2.0 TDI AT,Mumbai,Diesel,Automatic,First,2017,27000,174.5,5,29.50515723
656,Maruti,Swift,VXI,Chennai,Petrol,Manual,First,2014,56049,85.8,5,4.458867925
657,Skoda,Rapid,1.6 TDI Ambition,Pune,Diesel,Manual,First,2012,96987,103.5,5,4.113113208
659,Hyundai,i10,Sportz 1.2,Bangalore,Petrol,Manual,First,2010,69000,78.9,5,3.234150943
660,Honda,Jazz,1.5 S i DTEC,Bangalore,Diesel,Manual,First,2015,33500,98.6,5,5.981320755
661,Toyota,Innova,2.5 VX (Diesel) 8 Seater,Chennai,Diesel,Manual,First,2012,93000,100,8,9.492641509
662,Volvo,XC60,D4 SUMMUM,Ahmedabad,Diesel,Automatic,First,2013,64000,181,5,16.89433962
663,Maruti,Ciaz,ZDi Plus SHVS,Kochi,Diesel,Manual,First,2017,48045,88.5,5,8.383160377
664,Mitsubishi,Pajero,2.8 SFX,Hyderabad,Diesel,Manual,First,2009,94000,107.2,6,5.849433962
665,Maruti,Alto,LXi,Chennai,Petrol,Manual,First,2011,60000,46.3,5,1.969528302
667,BMW,3,Series 320d,Bangalore,Diesel,Automatic,First,2011,56000,170,5,12.81273585
668,Hyundai,i20,1.4 CRDi Asta,Pune,Diesel,Manual,First,2012,98472,90,5,4.636320755
669,Hyundai,Creta,1.6 CRDi SX,Hyderabad,Diesel,Manual,First,2016,37800,126.2,5,11.54377358
670,Maruti,Omni,5 Seater BSIV,Coimbatore,Petrol,Manual,First,2016,63617,35,5,3.22745283
671,Hyundai,Verna,CRDi SX ABS,Ahmedabad,Diesel,Manual,First,2011,68000,110,5,4.411226415
672,Maruti,Baleno,Sigma 1.2,Kochi,Petrol,Manual,First,2017,11282,83.1,5,6.823584906
673,Honda,Amaze,S i-Dtech,Chennai,Diesel,Manual,First,2013,75000,98.6,5,4.615849057
674,BMW,X3,xDrive20d Advantage Edition,Coimbatore,Diesel,Automatic,First,2014,78984,184,5,21.76226415
675,Skoda,Superb,Style 1.8 TSI AT,Mumbai,Petrol,Automatic,First,2016,71000,177.46,5,18.50924528
676,Honda,Brio,1.2 VX MT,Kochi,Petrol,Manual,First,2014,43814,86.8,5,4.058679245
677,Hyundai,i10,Magna,Kolkata,Petrol,Manual,First,2011,60000,78.9,5,2.453773585
679,Audi,A6,2011-2015 2.0 TDI Premium Plus,Kochi,Diesel,Automatic,First,2015,65438,174.33,5,22.33556604
680,Renault,Duster,85PS Diesel RxL,Mumbai,Diesel,Manual,First,2014,28215,83.8,5,5.215660377
681,Honda,WRV,i-DTEC VX,Kochi,Diesel,Manual,First,2019,15053,98.6,5,9.791886792
682,Honda,Mobilio,RS Option i DTEC,Bangalore,Diesel,Manual,First,2015,38000,98.6,7,6.42
683,Volkswagen,Polo,Petrol Highline 1.2L,Kochi,Petrol,Manual,First,2012,64213,73.9,5,3.014056604
684,Mercedes-Benz,E-Class,E 220 d,Delhi,Petrol,Automatic,First,2017,15000,191.34,5,38.27490566
685,Mercedes-Benz,S,Class 2005 2013 S 350 CDI,Hyderabad,Diesel,Automatic,First,2011,82000,282,5,22.78886792
686,Hyundai,Accent,GLX,Pune,Petrol,Manual,Second,2009,60000,94,5,2.052358491
687,Maruti,Swift,Dzire VXi,Chennai,Petrol,Manual,First,2012,158000,85.8,5,3.836037736
688,Hyundai,i10,Magna,Chennai,Petrol,Manual,First,2007,73000,78.9,5,1.777075472
689,Honda,Brio,1.2 S MT,Coimbatore,Petrol,Manual,First,2013,71601,86.8,5,4.349150943
690,Maruti,Ritz,VDi,Hyderabad,Diesel,Manual,First,2015,82328,73.9,5,5.676037736
691,Honda,Brio,1.2 S MT,Kolkata,Petrol,Manual,First,2011,38000,86.8,5,2.473396226
692,Maruti,Swift,VXI BSIV,Pune,Petrol,Manual,First,2014,85000,81.8,5,4.710471698
693,Renault,Duster,110PS Diesel RxL,Jaipur,Diesel,Manual,First,2012,116000,108.45,5,6.163018868
694,Hyundai,Santro,Xing GLS,Mumbai,Petrol,Manual,Second,2008,65000,62.1,5,1.433301887
695,Mahindra,KUV,100 G80 K4 Plus 5Str,Chennai,Petrol,Manual,First,2018,5600,82,5,6.29745283
696,Ford,Endeavour,3.0L 4X4 AT,Delhi,Diesel,Automatic,First,2012,68000,153.86,7,8.162358491
697,Tata,Indica,Vista Terra 1.2 Safire BS IV,Kolkata,Petrol,Manual,First,2010,29300,65,5,1.722830189
698,Land,Rover,Discovery Sport TD4 S,Kochi,Diesel,Automatic,First,2018,23342,147.5,5,27.64877358
699,BMW,3,Series 320d Sport,Coimbatore,Diesel,Automatic,First,2017,41078,190,5,34.3845283
700,Volkswagen,Vento,1.5 TDI Highline Plus,Chennai,Diesel,Manual,First,2014,38000,108.49,5,6.206509434
701,Tata,Indica,Vista TDI LS,Hyderabad,Diesel,Manual,Second,2013,132000,70,5,3.669245283
702,Maruti,Alto,800 LXI,Pune,Petrol,Manual,First,2015,35000,47.3,5,2.701698113
703,Ford,Figo,Diesel LXI,Ahmedabad,Diesel,Manual,First,2012,80000,68,5,2.783490566
705,Honda,Jazz,1.2 V i VTEC,Kolkata,Petrol,Manual,First,2015,27525,88.7,5,5.140471698
706,Hyundai,Grand,i10 1.2 CRDi Magna,Jaipur,Diesel,Manual,First,2018,27000,73.97,5,6.300754717
707,Skoda,Rapid,1.5 TDI Ambition,Pune,Diesel,Manual,First,2015,82799,103.52,5,6.103207547
708,Maruti,Ignis,1.2 Alpha,Pune,Petrol,Manual,First,2017,8000,81.8,5,5.829339623
709,Toyota,Fortuner,4x2 AT,Mumbai,Diesel,Automatic,Second,2014,46000,168.5,7,20.54053459
710,Hyundai,Verna,1.6 CRDI,Pune,Diesel,Manual,First,2012,98000,126.3,5,5.721320755
711,Hyundai,EON,Era Plus,Coimbatore,Petrol,Manual,First,2016,47924,55.2,5,3.635754717
712,Ford,Ecosport,1.5 Ti VCT AT Titanium,Chennai,Petrol,Automatic,First,2013,39000,110,5,7.909622642
713,Hyundai,Grand,i10 Asta Option,Coimbatore,Petrol,Manual,First,2017,33601,82,5,6.388679245
714,Hyundai,Creta,1.6 SX Automatic Diesel,Pune,Diesel,Automatic,First,2015,85000,126.2,5,10.35198113
715,Toyota,Corolla,Altis G,Pune,Petrol,Manual,First,2012,54000,138.1,5,6.020566038
716,Maruti,Vitara,Brezza ZDi,Pune,Diesel,Manual,First,2017,35000,88.5,5,8.62259434
717,Volkswagen,CrossPolo,1.2 TDI,Hyderabad,Diesel,Manual,Second,2013,80020,74,5,4.850943396
718,Ford,Ikon,1.4 ZXi,Chennai,Petrol,Manual,Second,2005,87500,68,5,1.070660377
719,Honda,Mobilio,V i VTEC,Mumbai,Petrol,Manual,First,2015,59500,117.3,7,6.761226415
720,Honda,Mobilio,S i DTEC,Hyderabad,Diesel,Manual,First,2015,76000,98.6,7,6.321698113
721,Porsche,Cayenne,Diesel,Bangalore,Diesel,Automatic,Second,2014,43000,240,5,36.06660377
722,Honda,Amaze,E i-Vtech,Kochi,Petrol,Manual,First,2015,41850,86.7,5,4.761509434
723,Audi,A3,35 TDI Premium Plus,Hyderabad,Diesel,Automatic,First,2015,52300,143,5,19.42858491
724,Mahindra,XUV500,W6 2WD,Pune,Diesel,Manual,First,2013,31924,140,7,9.085188679
725,Hyundai,Verna,Transform SX VGT CRDi BS III,Coimbatore,Diesel,Manual,First,2014,77914,110,5,7.051509434
726,Ford,Ecosport,1.5 DV5 MT Trend,Pune,Diesel,Manual,First,2013,70000,89.84,5,5.836415094
727,Maruti,Alto,LXi,Chennai,Petrol,Manual,Second,2010,94385,46.3,5,1.571037736
728,Renault,Pulse,RxZ,Jaipur,Diesel,Manual,Second,2012,57000,63.12,5,2.964433962
729,Hyundai,EON,1.0 Kappa Magna Plus,Coimbatore,Petrol,Manual,First,2016,27039,68.05,5,4.149528302
730,Honda,Amaze,SX i-VTEC,Delhi,Petrol,Manual,First,2015,11000,86.7,5,4.755283019
731,Volkswagen,Vento,1.5 TDI Highline Plus AT,Jaipur,Diesel,Automatic,First,2016,57669,108.5,5,9.299339623
732,Toyota,Fortuner,3.0 Diesel,Pune,Diesel,Manual,First,2011,124000,171,7,8.078867925
733,Maruti,SX4,S Cross DDiS 200 Zeta,Mumbai,Diesel,Manual,First,2017,29500,88.5,5,8.826713836
734,Maruti,800,DX,Jaipur,Petrol,Manual,First,2000,75000,37,4,0.6678301887
735,Maruti,Celerio,VXI AT,Coimbatore,Petrol,Automatic,First,2015,54186,67.04,5,4.27
736,Honda,Brio,E MT,Mumbai,Petrol,Manual,First,2015,36990,86.8,5,4.386037736
737,Maruti,Swift,Dzire Vdi BSIV,Hyderabad,Diesel,Manual,First,2016,90000,73.9,5,4.517830189
738,Toyota,Innova,Crysta 2.8 GX AT 8S,Mumbai,Diesel,Automatic,First,2018,23000,171.5,8,30.62528302
739,Maruti,Ertiga,VXI Petrol,Delhi,Petrol,Manual,Second,2016,23582,103,7,8.353773585
740,Maruti,A-Star,Vxi,Jaipur,Petrol,Manual,Second,2009,87000,66.1,5,1.839056604
741,Fiat,Avventura,Urban Cross 1.3 Multijet Emotion,Kolkata,Diesel,Manual,First,2019,1000,91.72,5,8.605471698
742,Maruti,Swift,VDI,Kochi,Diesel,Manual,First,2015,58634,74,5,5.471886792
743,Nissan,Sunny,Diesel XV,Kochi,Diesel,Manual,Second,2013,41377,84.8,5,4.352264151
744,Hyundai,EON,Magna Plus,Jaipur,Petrol,Manual,First,2015,43000,55.2,5,2.708490566
745,Honda,Amaze,S i-Vtech,Kochi,Petrol,Manual,First,2015,77372,86.7,5,4.500943396
746,Ford,Fiesta,1.4 Duratec EXI Limited Edition,Chennai,Petrol,Manual,Second,2006,49000,68,5,1.400377358
747,Honda,City,i VTEC CVT VX,Delhi,Petrol,Automatic,First,2015,48000,117.3,5,8.812132075
748,Honda,Brio,S MT,Hyderabad,Petrol,Manual,First,2012,30000,86.8,5,3.559056604
749,Maruti,Wagon,R VXI BS IV,Kolkata,Petrol,Manual,First,2012,47000,67.1,5,2.371320755
750,Hyundai,Elantra,CRDi SX AT,Jaipur,Diesel,Automatic,First,2016,76681,126.2,5,10.16792453
751,Honda,Accord,2.4 Elegance A/T,Mumbai,Petrol,Automatic,First,2010,106565,180,5,5.758584906
752,Maruti,Wagon,R VXI AMT,Coimbatore,Petrol,Automatic,First,2011,37492,67,5,3.157169811
753,Chevrolet,Cruze,LTZ,Coimbatore,Diesel,Manual,Second,2014,72843,163.7,5,10.61169811
754,Hyundai,i20,1.2 Era,Kochi,Petrol,Manual,First,2013,55653,80,5,4.227735849
755,Tata,Nano,Cx BSIV,Ahmedabad,Petrol,Manual,First,2013,35000,37.48,4,1.838113208
756,Ford,Ecosport,1.5 Ti VCT MT Trend,Delhi,Petrol,Manual,First,2014,44000,110,5,6.363915094
757,Tata,Indica,Vista TDI LS,Pune,Diesel,Manual,First,2012,43200,70,5,2.883207547
758,Skoda,Octavia,Classic 1.9 TDI MT,Jaipur,Diesel,Manual,First,2005,117000,66,5,1.413867925
759,Mitsubishi,Pajero,Sport 4X2 AT,Coimbatore,Diesel,Automatic,First,2016,63961,175.56,7,23.21245283
760,Mini,Cooper,3 DOOR D,Mumbai,Diesel,Automatic,First,2015,20000,113.98,4,21.40754717
761,Hyundai,Xcent,1.2 Kappa S Option,Pune,Petrol,Manual,First,2016,34000,81.86,5,5.16254717
762,Hyundai,i20,Magna 1.2,Kolkata,Petrol,Manual,First,2015,35000,81.83,5,4.220377358
763,Hyundai,i20,Sportz 1.2,Mumbai,Petrol,Manual,First,2013,43000,82.85,5,4.057358491
764,Hyundai,i10,Magna,Hyderabad,Petrol,Manual,First,2008,63193,78.9,5,2.445440252
765,Toyota,Innova,2.5 G4 Diesel 8-seater,Bangalore,Diesel,Manual,First,2008,110000,102,8,4.969811321
766,Maruti,SX4,Vxi BSIV,Kochi,Petrol,Manual,First,2011,44547,103.2,5,3.13245283
767,Honda,City,1.5 E MT,Ahmedabad,Petrol,Manual,First,2011,65000,118,5,4.025377358
